-40,0.01
-10,0.0113
-9.5,0.0154
-9,0.0185
-8.5,0.0212
-8,0.0365
-7.5,0.0168
-7,0.0538
-6.5,0.0638
-6,0.0638
-5.5,0.0756
-5,0.0123
